img,text
55-2.jpg,"لما زوجتك تقط رأسها على صدرك
و تسألك بصوت ناعم:
في وحدة تائية غيري بحياتك؟
تذكر دائما ان اجابتك غير مهمة إطلاقا
المهم دقات قلبك لا تتسارع

ا
هذه حركات الاستخبارات العسكرية

وفقك الله و ثبتك عند السؤال

 
"
shof_0485242f00dff66.jpg,"دكي أأوة لت ل ا ا قا كن محازت
س1 ما موفقه من عثمان بن عفان ؟

كان يعالف عثمان ي الرأي نه يرى ضرورة العيش على طريقة الي وصحبه ولا برق عيشة الترف فأسثان عتما:
في العروج إلى الشام فآذن له

سا1 لماذا كاتب معاوية علمان؟ وما نتيجة الل

اتتشرث دعوة أبي فر الشام فخاف مماوبة وكتب إلى عثمان ومكب عتمان من أبى قر أن بيه المديئة فطلب
فرمته أن يسيج له في العيش في الريدة فأذن له ومات هناد وحيدا كما أخبر الي صلى لله عليه وسلم

يواطر إسلامية

مالا لذكز بعض الأمور المهلة بالنوازت المي
من الأمور ١«ثلوث‏ الماء ؟ ثلوث اليواء * الفا على الأشجار 4:السيد الجائر
مس١‏ ما ميمة الإنسان في الأيض ؟

 
"
%25D9%2585%25D8%25B1%25D8%25A7%25D8%-2.jpg," 

 

 

 

 

 

 

 

 

 

 

 

 

لح ل ل ل
"
rectangle-shutter-940x1207.png," 
"
20160803-937.jpg," 
"
904.png,"تردد القنوات الاسلامية
على النايل سات

على موق ©

يي

تدا

ان

أن :* 5 رق

كن -

الحافظ
"
8r1XIH.jpg," 
"
333-2.jpg," 

0000
0010
201
18077
تقفو
0م
اا
عتم

20/09/0170
20/09/2017 0939
20/09/2017 099
20/09/2017 099
20/09/2017 099
20/09/2017 0919
20/09/2017 099
20/09/2017 099

 

00 7292 253995 لاض سفن

 

 

0001040 72692 175917 -.القرأن المي والعد 2
امس الا ال ا
.0 4ها 000 72960 0 6و9و7 مك لوقف 21110
جح اي ا
و م لاا
ييا لعي و ترا جف القران اجا
ام م لأا لاط

لامارات
"
%25D8%25AA%25D8%25AD%25D8%25B6%25D9%.jpg," 
"
%25D8%25AE%25D9%2584%25D9%2581%25D9%-4.gif," 
"
%25D9%2585%25D8%25AC%25D9%2585%25D9%-1.webp,"اليد بالنسية لي
د الال © 7 اليتآمى 8
وضحكة امهات الشهداء © وابتسآمة
الأجداد ©
اللهم صبر كل من فقد عزيز
وهون فراغ مكانيم ©

»انا20 2160©
"
img_1383481718_688.png," 

 
"
islamic-pictures-do3a25.jpg,"  

5 ب ا
"
221-3.jpg," 

مره واحده رايحه تشتكي لأمها
يا مامايا ماما الحقيني ؟؟
الام : مالك في ايه
: كل ما اعمل اكل لجوزي
ياخده ويرميه للكلب !!
الام : يا حرام والكلب ذنبه ايه بس؟؟

  

 

 
"
9-468.png,"متى ياتي كان هناك برنامج محدد للرباط بين عامي ‎©21٠١‏
‏المرابطون؟ و 0 أي في فترة وجود مشروع مصاطب
العلم والرباط ولكن بعدما حظرهم
الاحتلال لم يتبق أي برنامج حيث أن الرباط
أصبح فردي وغير منظم بيوم أو ساعة أو
ما

1005066077

 

 

 
"
20160719-3249.jpg," 

 

 

 

 

 

 

 
"
3249-1.png," 
"
a02d53d439859d687f7fc327a32c16e7-1.jpg," 
"
d9yj.jpg,"ا ا ار ا

الحديتث ططحيخ ووااه مل
"
islam-15.jpg," 

ع ابل لتر نر رج ونا درس ا.
"
0AF7C102_0499.jpg,"مألرجل أحة لما المح واللقة
فقال له: ما معنى الكُمُوج؟
فقال له العحوي اللغوي: أين وجدت هذه العبارة؟
فقال له:
وجدتها في قول امرئٌ القيس:
وي كَمَوْجالسَحْ راز مُدُولةٌ **عَ بَانواع الْهُنوم لب

فقال النحوي: (الكُمُّوجٌ): دابة تقرأ ولا تفهم.

 
"
25677fadaeyat.jpg,"  
"
3737-8.jpg,"      

انول الا سبىبوةالقيامة

ّ ل

0203 قاع قمعم""
"
ashom101.gif," 
"
PIC-142-1374236801.jpg," 
"
pic_1484587871_213.jpg,"/

/

عن أبي هريرة رضي الله عنه عن رسول الله صلى الله عليه""
وسلم غالء ( إن الع اذا أخطأ خطيئةٌ نكتت لي قلبه نكتة ل
سوداء فإذا هو نزع ار وتاب سق عليه وان عاد ريد فيه
حَتى تعلو قلبه وهو الران الذي ذكر الله: كلا بل ران على

ما كانوا يكسبون ) ).

     

( أخرجه الترمذي وحسنه الألباني )

 

 

 

 

 
"
Esm3ha.Com_.Cnbc_.Arabia.jpg," 
"
img_1386287351_215.jpg,"سف دبنية
"
494.jpg,"عبدالرحمن

2007م
"
img_1386287345_876.jpg," 
"
maxresdefault-10.jpg,"بطي بتقول الإخطار متجلوكن البصل يجى؛هنا
علشان ريحته وحشه وبيطفش الناس
سمع البصل الكلام ده زعل

 

رد وقال
تروح تشوف نفسها الصايعه
اى حد يطبطب عليها شويه تروح معاه
يا بطيخه يا منجرفه
"
2181-3.png," 

 
"
Im3cRIb.png," 
"
img_1419386969_185.jpg,"في فته الحركات الإبلامية (؟

   
"
6274-8.jpg,"""""-

28011501150. 01

اله أكير

ل إله إلا الله
"
img_1418380059_950.gif," 

 

١ح‏ ملم
7 ذ/
"
1443446729535.jpg," 
"
31275.jpg,
7alat-dinya-14.jpg," 
"
ramadan-new-tr3-768x461.jpg,"إسلامية الصف الأول
مُرَاجَعَةٌ تربية إسلاميٍ
الثالث
الفصل الدراسي ‎١‏

826
( الام الدَرَاسي 19-2018
اثلث |

 

 

 

 

 

 

 

 
"
%25D9%2586%25D9%2583%25D8%25AA%2B%25.png," 
   

ان الله والحْمْدُ لله
طن

 
"
8373-1840784193.png,
e9b0e968ee6435d45df31840c59cbe97-1.jpg," 
"
%25D9%2585%25D8%25B1%25D8%25A7%25D8%.jpg,"كا

ا قصص مؤثرة للف . تج

 

كان هناك عرس في أحد قصور الافراح
خلال السنة الماضية

فكانت هناك ا بدأت تر طق
على حالها 4"" عدة ساعات وهي لابسة
ملابس الرقص تقريباً حيث ماكان
فستانها أ الذي نسميه فس 0-7
بسيطة تستر بعض من جسمها وقد
العروسة والعريس فأخذت الحاضرات
يفقنها ولكن بدون فائدة ... فتقدمت
إحدى زميلات هذه المدعوة الى
الكوشة فقالت أنا أعرف كيف تفيق ؟؟؟
خا ‎١٠. ٠‏ .| اد .0_6( |
"
b236f8ef5992747882be46e7f92eb037-1.jpg,
180162904-1.png,"ل

بنسم ا زرو ا لحمت ا الكجع

الت جا

ندب | بيك | بريه | سب ل

الحد التتازلي قد بدا.

ل

ا
ا ا ل

امتن الله عليهم بقيامه وصيامه, وأن يوفقنا للخير والصلاح والفلاح فيه؛ ومع ذلك
فهناك من يخسر رمضان ويخسر فضله وأجزة والعياذ بالله؛ وريما.

اقراء المز

الحد التتازلي قد بدا.

 

د ل ا

بالأمس القريب ذرفت عبون الصالحين دموع الحزن على فراق رمضانء وقاهي

 

 
"
sabah-islami-11.jpg," 

 

إن بيصرخ ويقول
اهرب يا حمار اهرب يا حمار

 
 

سألته مراته :- بتشوف فيلم رعب
قالها : لأ ده شريط فرحنا
"
838-11.jpg," 
"
3409.png,"ا ا
تُعْرْض الْفِتنْ عَلَى
الْقُلُوبٍ كَالْحَصِيرٍ عُودَا
وذ فائ كنب أشربَ

  
   
 
"
20160807-271.png," 
"
media.jpg,"معلومة رائعة. . يجهلها الكثير.

التحيات لله والصلواتالطيبات...
ماهيالتحيات؟
ماهيالصلوات؟
ماهيالطيبات؟
التحيات إسم طائرفي الجنة على
شجرة يقال لها الحليبات' انبا
يقال له الصلوات فإن قلت التحيات
لله والصلواتالحليبات نزالالطاشر
عن تلك الشجرة
فانغمس في التهر وتخض ريشه على
جانب النهر. فكل قطرة وقعت منه
اخلق الله منها ملكا يستغضر لك الى
يومالقيامة , فاعرف هذدالمعلومة
وعلمها غيرك تستفيد وتؤجر

 
 

 

تمت صتووة
"
set-seamless-pattern-islamic-backgro.jpg," 

ب اند علق ل لتك الا قات 07م
بدتشق وقد كم فيه مغالة جيم البضر ماقا دياتاتهم
وأجناسهم ؛ في الوقت الذي كان تنظر فيه أوروبا إلى
مرض ""الجذام"" على أنه غضب من الله وعقاب , حتى أن
في سنة 1313م أمر الملك ""فيليب"" بحرق جميع المجذومين
في النار جهلًا وتخلقًا !
*الجذام هو مرض معدي يصيب الجلد والأعصاب
"
38413c10.jpg," 

  
 

الكاسيات العاريات !

 

 
"
%25D9%2585%25D9%2584%25D8%25AE%25D8%-1.png,"اللهم إنا نسألك بإسمك
الفنا
217 0
افتح لنا أبواب الرزق ويسر أمرنا
وهون علينا مصائبنا » وارضى عنا
فلا حول لنا ولا قوة إلا يك

ّي اللهم آمين *؟
"
BgxmT4FCMAAB31R.jpg,"كاينين زوج واحد سموه
نكرهك وثاني سموه نحبك
مات لسموه نكرهك بقى واحد
حي شكوون

 
"
gplus1122495751.jpg," 
"
2580-12.jpg," 
"
3-14.jpg,"المطفتطق

     
      

كاك تَعَالى
لام )).ء + © ‎٠9‏ ك4 ءء المآ ء ءا
واب المسا بد لله ‎""١‏ ترعُوا مع الله ( بدا

[سودة الت /18)

لله الرحمان الرحيم

ونستعيته وتستهديه ونشكرة. ونعوذ باللّه من شرور أنفستا وسيّئات أعمالتا.
قل فلا هادي له. والصلاة والسلام على سيّدنا محقد الصادق الوعد الأهين.

 

 

 

 

 
"
picture+funny+for+facebook.jpg,"محشش قاعد في الفصل كل شويه يضحك

وفي الآخر ضحك ضحكه كبيره جداً
الاستاذ قاله : مالك يابني

بتضحك علي ايه ؟ انت اتجننت ؟

2 قاله اصل عمال اقول لنفسي نكت
بس الاخيره دي جامده جداً
أول مره أسمعها ([:

  
"
%25D9%2582%25D8%25B5%25D8%25B5+%25D8.jpg," 

ا ل ا ا
"
qo9qL7izWzYKbaJBmImlRwHaEK.jpg," 

1 ا
فلا تعص لهما أمرا

55 07 200* 02118
"
20160807-269.png," 
"
113732.png,"في الحلال و الحرام

قال أعرابي للقاضي إياس بن معاوية: لو
كنت أكلت الصير فل تجلدني* قال أ
قال: لو شربت الماء هل تجلدني؟ قال: لاء
قال قشراب آلتبيد متها فكيف يكون سراما
ويجلد شاربها؟

قال ايأس: لو ضويتك بالتزاب على رأسك
هل يوجعك؟ قال: لاء

قال: لو صببت عليك قدرا من الماء هل
يتكسر رأسك؟ قال: لاء قال: لو مزجت الماء
والتراب و صنعت منها طابوقة صلبة
‎١‏ بها رأسك كيف يكون قال م ]
قال اياس: كذلك النبيذ.
"
1327534921_in-the-name-of-allah.jpg," 
"
0143.JPG," 
"
25674fadaeyat.jpg,"وعاء الكرب

لاإ إلا اث العطير أكلير
لإ لل لمش ‎١‏ هم

لا إل إلا اث رغ السواتك
ولب الأرشض ولب 0 ِ

 
"
3737-4.jpg," 

 
"
img_1416746049_729.jpg,"اذ _ اك عكر ل لض نكل ذه افاي احا ااا اح
اللهم إنى أصبحت منك
فى نعمة وعافية وستر
فأتم نمك على وعافيّك
وسترك فى الدنيا والآخرة
+ + ييدددد
"
app_screen_shots_27651.jpg," 
"
3.jpg,"     

 

صلق وسلة وبارك على - جيه
ل
/ رس"" فيد بد ب
"
hwaml.com_1354752148_592.png,
PIC-330-1466858738.png," 

املاع ع1

 
"
islam-20.jpg,"بينما كان الحلاق يقص شعر الزبون كانت فتاة حسناء ججلس بالقرب
منه تقلم اظافرها وعندمآ أعجب بجمالها الزبون
قال لها: تقبلين دعوتي إلى الغداء سهياً؟ فقالت: لا أستطيع
فقال: إذن أنعوك للعشاء سوياً؟ فقالت: متأسفة لأني أخاف أن
أتأخر عن ميعادي في المنزل و تثور أعصاب زوجي
فقال لها: قولي له إنك تأخرت في عملك. فقالت له: قل له أنت
كان كرت 5لك اب الحاك مو الود يضرا محعارك زوارجة لمصاضك
7ت

    
   

#الملاحظة الأولى:

لاتستعجل بالتَفوه بكلمات قد تؤذيك دون أن تغرف الظروف ال محيطة بك
#الملاحظة الثانية:

الدفن بكرة بعد العصرم: ال
"
Sanstitre1-36-1.gif," 
"
hwaml.com_1354752149_185.png," 
"
60e3b0162e434ad2a4e4c218eb76ec3f1-31.jpg," 
"
img_1418558452_314.png," 
"
23.jpg,"من طرائف النحاة )
قال أحد النحاة:
رأيت رجلا ضريرا يسأل الناس
يقول : ضعيفا مسكينا فقيرا... َ
فقلت له: ياهذا... علام نصبت (ضعيفا مسكينا فقيرا) ؟
فقال : بإضمار ارحموا....
قال النحوي : فأخرجت كل ما معي من نقود وأآعطيته إياه
فرحا بماقال. على محمود

 
"
1443446729454.jpg,"بنت واقفه في المطبخ بتغني :-
حط ايده يا علي ايدي يا ... قالي بتحبيني

من يومها بقت تغني
انا مش بتاعت الكلام ده

 
"
0214578;lkjy-1.jpg,"هل تعلمم

هل تعلموآن أول من ركب الخيل ؟
هو إسماعيل عليه السلام . ا
هل تعلوأن أول من سمى الجمعة ‎١‏

كعب بن لؤي م
هل نظي ان اول من تقال سيان ريق الاغلى؟
هو إسراقيل عليه الملا ا
هل تعلمرأن أول ما نزل من القرآن الكريم ؟
"" اقرأ باسم ربك الذي خلق ”7
هل تعلمأن أول من خط بالقلم ؟

عليه السلام

اا من القرآن الكريم؟
“ واتقوا يوماً ترجعون فيه إلى الله 1
هل تعلمأن أول ما نزل من التوراة ؟
“ بسم الله الرحمن الرحيم ” . -
هل تعلوأن أول من جاهد في سبيل الله
هو إدريس عليه السلام
هل تم أن أعظم آية في القرآن الكريم؟
“ آية الكرسي "".

 
"
20160804-38.gif," 
"
img_1386286983_603.jpg,"ثالث ما أسبابٌ تَسْبَهِ الرّجَالٍ بالنّساءٍ أو تَسْبَهِ النّساءٍ بالرّجالٍ؟

1 ضعف التربية.
الصحبة السيئة.

رابعًا: ما طرائقٌ الوقاية منّ التَْبَّهِ؟
1 التربية السليمة.
الصحبة الحسنة.

خاممًا: علَلْ: جُبلَتِ المرأةٌ على العاطفة.

لتبقي أسرتها متماسكة مما ينعكس على تلاحم المجتمع وزيادة قوته.
"
QLXjEGiA.jpg,"ط! فا محا وا
عد عد عد عد حب
"
3737-2.jpg,"ِِ
ا
ّ
ٌّ

 
"
img_1419386967_263.jpg,"اجر (للسيرءر2) ايو أجدور 1 لاجد وروا ربو

من ترك شينا لله
عوضه الله خيرا مثه

حا
الم
"
1-5.jpg,"هذه الإجابات من وحي خيال الطالب وليس لها

 
"
PIC-921-1374236803.jpg," 
"
%25D8%25AF%25D8%25B1%25D8%25B3%2B%25-1.jpg," 
"
4518-9.jpg,"5 1
ا

 
"
qt8d.jpg," 

 

 

وعى رزو أفارت

 

 

 

 
"
BqvKkXyCcAMjSDk.jpg," 

 

 

 

 
"
416212255d368ba05df293dcacea5026-310.jpg," 

 

1

+
"
FFJmg77fmKzZsQDcIWSn6JxzE8fdcMFmk1Sx,"يارب علمني أن أحب الناس كما 5

أحب نفسي .. وعلمني أن أحاسب

تق ي كما أحاسب النالس 1
ً
ا
‎١‏ زا
علا ع
"
DHqa7AfzexIWpBD_ZrtR3FoR7_me3B9pQbDy," 
"
sabr-pictures-1.jpg," 
"
2700-2.jpg," 
"
img_1394734914_239.jpg,
islam-5.jpg,"مس ا

انلز اوش روات قل وناوة لقان |
ل مودت لل م فرظ لقال |
ا
شل زاالة لام مم تتت زا رن |
مموتختا فاه م2 ٍ

 

 
"
25679fadaeyat.jpg," 
"
0000000000000.png,"جود كل طالب عادل أمام
فى الدراسة بيبقى الزعيم
فى الامتحان بيبقى زهايمر

     

وجوة اللجنة بيبقى المتسول :((
"
img_1386287358_589.jpg," 
"
2-8.png,":
أن ا ور تدوج زززاه كادي - سراي د وو 01 لمسويجا الماك له ارج سور رك

 

0
"
777-6.jpg," 

ل
"
20160107-168.jpg," 
"
54447210.jpg,"قبل أن ترسل

 

أفلام انان
ل
لق برو 8
تذكزْ
0 با لاسي

ص ا وج رك ا

وم الوَبسَتمَو عَمَا كَانوأبفْئرُوبتَ
"
13215-5.jpg,"‎-١‏ الله واحد لا شريك له
“دلائل وحدانية الله :
عندما تنظر فى السماء ترى الكواكب والنجوم تظهر بانتظام .
الشمس :. تشر قكل يوم من مكان واحد ( جمة الشرق ) ؛ وتغيب فى مكان واحد ( جمة الغرب ) +
الشمس على مسافة محددة من الأرض + :8 ""|
8 يحدث لو :. إذا اقويت الغمس من الأرض ؟ - اح كل شئ + واس 5
* ماذا يحدث لو :. إذا بعدت الشمس عن الأرض ؟ ‏ لتجمدكل شئ ‎٠‏
‏القع :. عندما يظهر فى بدايةكل شهر #جرى يبدا هلالًا . ثم يكبر حتى يصير بدرًا فى منتصف الشهر » ثم يصغر فيصير

‎ 

‏حاقًا فى نباية الشهر ثم يختى .
سكل ذلك فى نظام نابت لا يتغير . - -الشمس والقمر آيتان من آيات الله
*دلائل قدرة الله و الانسا

‎ 

‏إذا تأمل الإنسان فى جسمه سيجد ‏ قلبًا بض لسانًا يتحدث به . ويتذوق به الطعام والشراب ‏ أقًا يشم ها
رجلين يمشى بها يدين يعمل بها +
*الأزهار فى الحدائق :. إذا نظرت إليها + والى ألوانها الكثيرة +وجدتها تهرك بنظاهما البديع .

‎ 

‎ 
"
Photos-Wallpapers-Islamist-1.jpg,"غبي بيعمل تَحليلٍ دم ... الدكتور

بيقوله : انت عندك سكر في الدم

اده : الله يكرمك يا دكتور والله
ا

0 انت اللي زى العسل !
/

77
"
021548ki.jpg," 
"
PIC-943-1374236809.jpg," 
"
Islamic%2Bdecorations%2B%25281%2529.jpg," 
"
6212-1.jpeg,"ب اح ا ا لح ا
اد ا ا كد زات

0)
"
%25D9%2585%25D8%25B0%25D9%2583%25D8%-1.jpg," 
"
143920-1.jpg," 

 

 

 
"
0091.JPG,"ال ل ل ل ا از ا

ا يا ل لي لبا الط الل لول
ل لد لاله رع (ااص لاص ل الاق
لل سان الاك الاج لاء
ا للا اليد رع رارك ال ل
فين 5 دراهم لينجيب بها الدقيق و فين ليغانجيب بها الزبدة
"
RFCgJW6ifcXfKwzbtsBPKwAAAA.jpg," 
"
385526.jpg," 
"
%25D8%25A7%25D8%25B3%25D8%25A6%25D9%-1.png,"فوائد الغشش

* تقويه عضلات العين
* تقويه حاسه الشمع
* تقوية العلاقات الأجتماعيه
* نشر روح التعاون
والنتيجه اسعاد الوالدين
"
img_1396538634_548.png," 
"
5329-3.jpg,"اختبارات الفصل الثالث
السئة الأولى ثانوي ج,م,عرت

فضاء التربية والتعليم في ا جزائر
601, 6 0811-60 ,لنا/ثان:
"
nokat-maghribia-9.png,"59860820109 ١7 ‏ناه‎

اص

7

© © 5 2 د الا

معوم1 )امعط برهلا
نر مع

غضه) وماه

متهم ممع أت

ردك اماق 0ن:

 
"
%25D8%25B2%25D8%25AE%25D8%25A7%25D8%.png,"بير

‎-7١‏ _قرر مجلس الوزراء في جلسته المنعقدة بتاريخ ‎٠١٠١/5/77‏ - الموافقة على إحالة
الموظف من ملاك وزارة الأوقاف والشؤون والمقدسات الإسلامية السيد إبراهيم عبد الكريم
عويد الشديفات على التقاعد بناء على طلبه اعتبارا من تاريخ ‎7١٠8/8/77‏

‏مير

‏- قر مجلس الوزراء في جلسته المنعقدة بتاريخ ‎70٠4/5/17‏ - الموافقة على إحالة
الموظف من ملاك وزارة الصناعة والتجارة والتموين السيد جمال فارس سليمان الصعوب
على التقاعد اعتبارا من تاريخ ‎7١٠9/5/١‏ لبلوغه السن القانونية ‏

‎ 

‏عقي

‏7-_قررّ مجلس الوزراء في جلسته المنعقدة بتاريخ ‎70٠9/5/77‏ - الموافقة على إحالة كل
موظف من الموظفين المُذكورين تالياً من ملاك وزارة التربية والتعليم على التقاعد بناء
على طلبه اعتبَارَا من التاريخ المبين إزاء اسمه :- 0
ِ
- السيد يونس مصطفى حماد الضلاعين ‏ 7014/7/1 ل ل
- السيد نائل فلاح وادي الصقر ‎٠4/5‏ ب
"
PIC-962-1421059573.jpg,"السو ال
واعل بان الله يعلم
أنظرة العين وما تخفي الصدور
كن م

 
"
2410-3.jpg,"سل

يقرأ
لازم ي
لطالب اللي يقر
ه أنا ‎١‏ ل ٍ
5 : 0 قه الاجابٍ
21 0 تبها علي ورا
1 2 قبل ما يكتبها
"
25675fadaeyat.jpg," 
"
%25D8%25A7%25D8%25AE%25D8%25AA%25D8%.JPG,"ليبييييش اخترعوا الثواني؟؟!؟؟!؟!؟!؟!

علمود يحطوا فييهم الثحون والكاثات
شيِيْئِيِيِئِيِْيِيِيِْيِيِييية

اليغلط احضره ميتي ييييييييبيا
"
Eid+Mubarak+Messages.PNG,"لكسر الروتين
ساعتك براق
واذا احد قالك ليش
قوله على شان امشي
مع الوقت
لق ات ان ات

هذي جديده ريحت الوكاله فيه
"
Image4_6201939577996160810.png," 

 
"
20160107-167.jpg," 
"
2410-2.png,"احنا الشعبث الوجيد اللى عنده رد لكل كلمة.

احم لإء
5 اتلك عللا
ااا أماوطا اهقلق +
ا ل
عام اروج + ام روح ما ترج +
عار امج
عامل له ‎١‏

 

ل نعم الله عليلف +
عات يوس باستش عليه +
حدلك بورض وعشرة حرسم +
بيك انا تبدلك: معن بل سوط
10 لاعت سيوس حورا

 
"
5577-4.jpg," 
"
63547.1426716499160.jpg," 
"
3273-2.jpg,"قيل للسعادة : أين تسكنين ؟

 
"
182_10_124_220_Rahmat_Sy_Z.jpg," 
"
11041827_815992548487669_91660019641.jpg,"الا > ضاق الاج ل 2 2 م

في مدارس البنات في ماليزيا
وزن الطالبه يدخل ضمن علاماتها
لأنها سميئه
وهذا القانون للحد من السمنه

مب 1

/

2١

‎١٠١ ٠. 8 0:‏
مد لله مش عندنا النظام ده

‏1 7 ا 7 نص م الند اث لبه ذْ 8 1 ماله

‎ 

‎ 

‎ 
"
2015_1391652569_343.jpg," 
"
5872-5.jpg," 
"
islam-28-1024x683.jpg,"دليل استخدام كتاب
التربية الإسلاميّة
السّنة الرَابغة من التعليم الابتدائي

المشرف العام

 
"
012457;lkj.jpg," 
"
20160805-446.jpg,"الحمدُ لله على كل شىء»

مدونة بفتكرك ©
"
1899-3.jpg," 
"
images-16.jpg," 
"
6202-2.jpg," 
"
%25D8%25AF%25D9%2584%25D9%258A%25D9%.png," 
"
%D8%A7%D9%84%D8%B5%D9%88%D9%85%20%D9.jpg," 
"
1440.jpg,"ا ل قي

ء.« هار انيا*ع .6 .
‎٠‏ ان ب باسله الل 0
. الوينل منها شين ؟ 1 ذكء
9
ما 1 1 ا
الس اينات ‎١‏ ء

حب “امار ‎٠‏

كلا انار مصينا راجن

0 ا ا تي ""8
"
pVBd-fq39gFHTSL7cPvgzoxTiWPM8xdF3m-5," 

والزانا]
"
20160803-936.jpg,"طب والحتمة
المريقة الكو يفا

 

من كان حائفاً فليحلف بالله؛ وإلا فليصمت

موا

 
"
1559-1.jpg," 
"
screenshot_04," 
"
896-6.jpg," 

مايين غمضة عين والتفاتتها
يبدل الله من حال إلى حال

علي بن ابي طالب
"
3196-7.jpg," 
"
300169_180156448723186_1801509120570.jpg,"# >

طرائف تحوية
‎١‏ - مُتسؤّلَ ضليعغ في النَحُو

قال أحدُ النحاة : رأيث رجلاً ضريرًا يسأل الناسَ يقول: : ضعيقًا مسكينًا فقيرًا ضريرًا.
فقلتُ له: يا هذا. . علامَ نصبت ضعيقًا مسكيئًا فقيرًا ضريرًا؟!
فقال الرجل: بإضمار (ارحموا)..
قال النَّحُويُ: تريش الإسنس دت ل رأعقية بمرت ا
""- أبوكَ وحماره
حكى العسكريٌ في كتاب التّصحيف أنه قيل لبعضهم: ما فَعّل أبوك بحماره؟!
فقال: باعه (بكسر العين والهاء)؛ فقيل له: لم قلتَ (باعه)؟!
قال: فلم قلت أنت (بحماره)؟!
قال الرجل: أنا جررته بالباء.
فردٌ عليه بقوله: فلمَ جر باوْكَ وبائي لا تَجْرُ؟!
مجمع اللغة العربيّة المدرسي
"
6202-7.jpg,"ا 0

ّ لساك ا
شر إل 6.8
ارات
غير 2

يبا بف أو ؟
اا كا

     
   
   

   

7

ارات ب

سكسم
"
islam-3.png," 
"
3333-1.jpg,
39072fadaeyat.jpg,"مين إللى هيشوفك غير ولاد

عمك و ولاد خالتك و كام

واحد من أصحابهم؛ و يعنى
الشفرجية و الدى جيه

00/0/2000 10.066

 

 

 
"
sba7-10.jpg,"        

ركنا ءامنا فَاَعَمِرٌ كنا وَابَحَمَتَا
وَأَنّتَ خَيْرٌ الراجهيّن

المؤمنون: 109
"
3737-6.jpg,"ب

‎١‏ 0 تن العاللين
"
hqdefault-2.jpg," 

   
"
1-1.jpg,"      
   

أن عمري ماشوفت مصري
© يأ عمل حادثة وقال انا غلطان

انها حتي لو خبط في شجرة

2

جِ يقول صا مكانها خط رج[
"
8_cI5iIKGcXHniXpjMk-cEZuWHpRjx6uRPSw,"هل 5 4 فى
عندما تصل ل درجة التشوع ب
الصلاة يُفرز الجسم (هرمون 0 ِ
ا ا م
هذا الهرمون يعالج ( اناب
ويكفي قول الحبيب 5
أرحنا يها يا يلال

 
"
6202.jpg,"أثناء الحروب الصليبيه وفي شده القتال بين
صلاح الدين وريتشارد قلب الأسد

أصيب ريتشارد بطلقه في يده فصرخ بأعلي

فرد عليه صلاح الدين : شت الحبايب يا حبيبه

فضحك ريتشارد وضحك صلاح الدين

2م وضحك الجنود وتم تاجيل الحرب

 
 
"
